Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
SLC46A3|283537,472.8863,214.3154,90.4033,619.2222,116.45,219.9183,53.9216,280.3064,76.4755,337.7483,64.9755,41.6421,102.9002,37.173,20.8232,26.9972,234.2829,92.4092,86.9905,297.2882
SLC47A1|55244,21.5743,4.1615,2.318,20.894,18.0893,41.8892,2.1786,29.7431,6.65,36.4238,45.3939,0.9152,24.2504,0.9179,4.3584,3.8567,65.8153,4.6205,5.7299,48.5437
SLC47A2|146802,0,2.0807,1.8544,2.8492,0.5653,0,2.7233,0.9013,0.665,5.9603,4.8954,1.3728,1.9662,2.7536,0,3.8567,285.3635,2.6403,1.0418,27.4523
SLC48A1|55652,1011.6618,658.3437,867.872,953.0514,443.7535,789.0879,263.0719,410.9959,742.1446,1026.4901,473.5202,802.6395,568.9005,704.4516,931.2349,957.5758,707.7603,1032.3432,182.8363,522.2631
SLC4A10|57282,0.5831,0.4161,0,0,1.1306,0,0.5447,3.6052,0,5.9603,0,0,0,0.4589,0,0,3.4381,0,0,0
SLC4A11|83959,787.7551,775.697,1165.044,408.8576,1027.134,387.9987,1746.732,630.0135,490.1081,131.1258,521.5843,337.255,38.0141,479.1189,176.2712,836.3636,79.0766,880.5281,597.4736,419.4844
SLC4A1AP|22950,583.6735,645.0895,574.4089,500.6963,578.0045,812.1269,662.854,438.0352,558.9094,837.8146,806.6133,544.0925,550.9946,596.2047,902.4552,690.3581,820.2996,507.5908,757.1507,923.9069
SLC4A1|6521,0,0.4161,0,0.9497,1.1306,3.1417,0,4.5065,0,0.6623,0.8901,0,0,0,0,0,0,3.9604,0,0
SLC4A2|6522,1889.0845,1911.5564,1487.1581,2172.4919,2499.9039,2013.3836,2781.0948,1880.6039,2248.7116,2774.8609,3199.3591,2065.4558,2650.349,1461.464,3539.6465,2961.6033,1726.2967,1848.6931,2171.2983,2342.5778
SLC4A3|6508,22.7405,111.9434,147.8906,338.1029,378.1798,118.337,241.2854,66.6967,10.6401,223.8411,136.1816,145.5184,36.0478,21.5695,32.9298,330.0275,322.2004,427.7228,120.8491,199.5313
SLC4A4|8671,16.9096,10.4037,21.3259,9.0224,2.2612,255.5241,6.5359,157.7287,13.3001,21.8543,416.1104,10.5249,1.3108,7.8017,573.8499,0,5.8939,105.6106,11.4598,4.0174
